instrument_id,symbol,market,asset_class,source,added_on,active,price_eligible,price_source,inactive_on
00XJ1d_EQ,00XJ1d,,EQ,trading212,2025-12-26,True,False,none,
00XK1d_EQ,00XK1d,,EQ,trading212,2025-12-26,True,False,none,
00XQd_EQ,00XQd,,EQ,trading212,2025-12-26,True,False,none,
013Cd_EQ,013Cd,,EQ,trading212,2025-12-26,True,False,none,
02Gd_EQ,02Gd,,EQ,trading212,2025-12-26,True,False,none,
02Md_EQ,02Md,,EQ,trading212,2025-12-26,True,False,none,
04Qd_EQ,04Qd,,EQ,trading212,2025-12-26,True,False,none,
096d_EQ,096d,,EQ,trading212,2025-12-26,True,False,none,
0EFd_EQ,0EFd,,EQ,trading212,2025-12-26,True,False,none,
0GSd_EQ,0GSd,,EQ,trading212,2025-12-26,True,False,none,
0MEd_EQ,0MEd,,EQ,trading212,2025-12-26,True,False,none,
0NUd_EQ,0NUd,,EQ,trading212,2025-12-26,True,False,none,
0OKd_EQ,0OKd,,EQ,trading212,2025-12-26,True,False,none,
0PYd_EQ,0PYd,,EQ,trading212,2025-12-26,True,False,none,
0Q0d_EQ,0Q0d,,EQ,trading212,2025-12-26,True,False,none,
0Q2d_EQ,0Q2d,,EQ,trading212,2025-12-26,True,False,none,
0Q3d_EQ,0Q3d,,EQ,trading212,2025-12-26,True,False,none,
0QFd_EQ,0QFd,,EQ,trading212,2025-12-26,True,False,none,
0QNd_EQ,0QNd,,EQ,trading212,2025-12-26,True,False,none,
0TLd_EQ,0TLd,,EQ,trading212,2025-12-26,True,False,none,
0UBd_EQ,0UBd,,EQ,trading212,2025-12-26,True,False,none,
0V6d_EQ,0V6d,,EQ,trading212,2025-12-26,True,False,none,
0YUd_EQ,0YUd,,EQ,trading212,2025-12-26,True,False,none,
0ZCd_EQ,0ZCd,,EQ,trading212,2025-12-26,True,False,none,
0ZGd_EQ,0ZGd,,EQ,trading212,2025-12-26,True,False,none,
10AId_EQ,10AId,,EQ,trading212,2025-12-26,True,False,none,
10AJd_EQ,10AJd,,EQ,trading212,2025-12-26,True,False,none,
10AKd_EQ,10AKd,,EQ,trading212,2025-12-26,True,False,none,
10ALd_EQ,10ALd,,EQ,trading212,2025-12-26,True,False,none,
11Cd_EQ,11Cd,,EQ,trading212,2025-12-26,True,False,none,
11Ld_EQ,11Ld,,EQ,trading212,2025-12-26,True,False,none,
12DAd_EQ,12DAd,,EQ,trading212,2025-12-26,True,False,none,
12Fd_EQ,12Fd,,EQ,trading212,2025-12-26,True,False,none,
13Md_EQ,13Md,,EQ,trading212,2025-12-26,True,False,none,
